claim_id,Month,Make,Fault,PoliceReportFiled,WitnessPresent,Risk_Score,Risk_Level
84,Nov,Toyota,Policy Holder,No,No,0.048118480672456714,Low
85,Dec,Honda,Policy Holder,No,No,0.06544805741443832,Low
86,Dec,Chevrolet,Policy Holder,No,No,0.19373004255836318,Low
87,May,Toyota,Policy Holder,No,No,0.6885755012651839,High
88,May,Mazda,Third Party,No,No,0.19519062372678958,Low
89,Oct,Pontiac,Third Party,No,No,0.052665760366891065,Low
90,Oct,Honda,Policy Holder,No,No,0.17360249225321553,Low
91,Oct,Honda,Third Party,No,No,0.07722594159012848,Low
92,Jan,Pontiac,Policy Holder,No,No,0.1351232100894596,Low
93,Jan,Honda,Policy Holder,No,No,0.753266219292608,High
94,Aug,Pontiac,Policy Holder,No,No,0.6813426853369251,High
95,Nov,Honda,Policy Holder,No,No,0.6627779683546219,High
96,May,Honda,Third Party,No,No,0.02763262768911441,Low
97,Nov,Toyota,Policy Holder,No,No,0.5161345733787992,Medium
98,Jan,Toyota,Policy Holder,No,No,0.7279876763355564,High
99,Nov,Pontiac,Third Party,No,No,0.044564976375373655,Low
100,Jan,Pontiac,Policy Holder,No,No,0.7434549992375771,High
101,Nov,Chevrolet,Policy Holder,No,No,0.5489222435738718,Medium
102,Jan,Pontiac,Third Party,No,No,0.05198084084244213,Low
103,Jan,Ford,Policy Holder,Yes,No,0.7244731991133074,High
104,Jan,Mazda,Policy Holder,No,No,0.5911562237694594,Medium
105,Jan,Pontiac,Third Party,No,No,0.05569114709344262,Low
106,Dec,Dodge,Policy Holder,No,No,0.0648953112112477,Low
107,Aug,Mazda,Policy Holder,No,No,0.6647579259242474,High
108,Nov,Pontiac,Third Party,No,No,0.050754142874049,Low
109,Jun,Chevrolet,Policy Holder,No,No,0.6845719614233442,High
110,Mar,Honda,Policy Holder,No,No,0.13815532381704243,Low
111,May,Toyota,Policy Holder,No,No,0.6723406696434738,High
112,May,Pontiac,Policy Holder,No,No,0.7907538037380413,High
113,Nov,Honda,Third Party,No,No,0.038264052696160115,Low
114,Nov,Accura,Policy Holder,No,No,0.601358929378604,High
115,Dec,Chevrolet,Third Party,No,No,0.022313240772682322,Low
116,Dec,Honda,Third Party,No,No,0.20214284764093238,Low
117,Nov,Pontiac,Third Party,No,Yes,0.015392467538302201,Low
118,Aug,Pontiac,Policy Holder,No,No,0.12856607646458917,Low
119,Nov,Mazda,Policy Holder,No,No,0.6728710709382146,High
120,Dec,Honda,Policy Holder,No,No,0.8052683052557759,High
121,Feb,Honda,Policy Holder,No,No,0.8659821005329598,High
122,Oct,Honda,Third Party,No,No,0.10838128537820371,Low
123,Jun,Pontiac,Policy Holder,No,No,0.68425964639314,High
124,Apr,Honda,Policy Holder,No,No,0.5272121124255452,Medium
125,Feb,Toyota,Third Party,No,No,0.07094845670488054,Low
126,Feb,Pontiac,Policy Holder,No,No,0.0743910014738282,Low
127,Jan,Dodge,Policy Holder,Yes,No,0.2892923427914642,Low
128,Jan,Mazda,Policy Holder,No,No,0.13664333362637815,Low
129,Jan,Chevrolet,Third Party,No,Yes,0.005396038088297862,Low
130,Nov,Honda,Policy Holder,No,No,0.35179248842693794,Medium
131,Jul,Pontiac,Policy Holder,No,No,0.547066555230039,Medium
132,Apr,Honda,Third Party,No,No,0.024683435727599613,Low
133,Oct,Pontiac,Third Party,No,No,0.027228620479158805,Low
134,Oct,Ford,Policy Holder,No,No,0.6268707320047514,High
135,Apr,Honda,Policy Holder,No,No,0.6055709867632908,High
136,Mar,Pontiac,Policy Holder,No,No,0.6466877726336506,High
137,Mar,Toyota,Third Party,No,No,0.05157947356532622,Low
138,Feb,Toyota,Policy Holder,No,No,0.7887116837522121,High
139,Dec,Mercury,Policy Holder,No,No,0.7062862923125051,High
140,Oct,Toyota,Policy Holder,No,No,0.733421600900903,High
141,Jul,Honda,Policy Holder,No,No,0.6501976333602273,High
142,Jun,Pontiac,Policy Holder,No,No,0.7436218778136796,High
143,Feb,Chevrolet,Policy Holder,No,No,0.024070114466423306,Low
144,Feb,Toyota,Policy Holder,No,No,0.6037546034078757,High
145,Feb,Toyota,Third Party,No,No,0.0031813012129334093,Low
146,Nov,Mazda,Policy Holder,No,No,0.6332089778593708,High
147,Sep,Mazda,Third Party,No,No,0.004098837806670515,Low
148,Dec,Toyota,Policy Holder,No,No,0.9231888172137886,High
149,Jun,Accura,Policy Holder,No,No,0.7452744196774505,High
150,May,Mazda,Policy Holder,No,No,0.5258262957813231,Medium
151,Jan,Pontiac,Third Party,No,No,0.03555487231590597,Low
152,Jan,Pontiac,Policy Holder,No,No,0.08769885614068619,Low
153,Jan,Pontiac,Third Party,No,No,0.003914361354364974,Low
154,Sep,Honda,Third Party,No,No,0.5346219648491531,Medium
155,Jan,Honda,Third Party,No,No,0.002244906737340184,Low
156,Jan,Accura,Policy Holder,No,No,0.15638679477448353,Low
157,Jan,Mazda,Policy Holder,No,No,0.6518903725654692,High
158,Jan,Chevrolet,Policy Holder,No,No,0.6707878110755453,High
159,Jan,Honda,Policy Holder,No,No,0.07510328827919964,Low
160,Jan,Honda,Policy Holder,No,No,0.09409226384303528,Low
161,Dec,Chevrolet,Policy Holder,No,No,0.7670687161913069,High
162,Jan,Honda,Policy Holder,No,No,0.16238320375829712,Low
163,Jan,Chevrolet,Third Party,No,No,0.003964315999928828,Low
164,Jan,Toyota,Third Party,No,No,0.07702317996785703,Low
165,Jan,Toyota,Third Party,No,No,0.11058429870089771,Low
166,Jan,Toyota,Policy Holder,No,No,0.07712080026464146,Low
167,Jan,Honda,Third Party,No,No,0.038083520897413785,Low
168,Oct,Toyota,Policy Holder,No,No,0.6010546632657279,High
169,May,Nisson,Policy Holder,No,No,0.7191862391191898,High
170,May,Honda,Policy Holder,No,No,0.0746098078772248,Low
171,Mar,Pontiac,Policy Holder,No,No,0.7473027599787607,High
172,Mar,Mazda,Policy Holder,No,No,0.09936005596618609,Low
173,Feb,VW,Policy Holder,No,No,0.309814168466518,Medium
174,Feb,Toyota,Policy Holder,No,No,0.1651911507418651,Low
175,Feb,Honda,Policy Holder,No,No,0.6939649057444343,High
176,Feb,Chevrolet,Policy Holder,No,No,0.7827313723578175,High
177,Feb,Saab,Policy Holder,No,No,0.8316711166427426,High
178,Jan,Honda,Policy Holder,No,No,0.059307514723021475,Low
179,Jan,Chevrolet,Policy Holder,No,No,0.7516412780220993,High
180,Jan,Mercury,Third Party,No,No,0.09425470535786656,Low
181,Jan,Ford,Policy Holder,No,No,0.74356292019928,High
182,Jun,Pontiac,Policy Holder,No,No,0.5783643742532232,Medium
183,Jun,Mazda,Third Party,No,No,0.14457776368965972,Low
184,Dec,Toyota,Third Party,No,No,0.04124871377383323,Low
185,Jan,Chevrolet,Third Party,No,No,0.04204599391551281,Low
186,Jan,Pontiac,Policy Holder,No,No,0.699467358799303,High
187,Jan,Honda,Third Party,No,No,0.0057845559392777305,Low
188,Dec,Pontiac,Third Party,No,No,0.0017412028084874166,Low
189,Jan,Chevrolet,Policy Holder,No,No,0.12032491917020934,Low
190,Dec,Mazda,Policy Holder,No,No,0.6052901086464766,High
191,Dec,Mazda,Policy Holder,No,No,0.4748914427292425,Medium
192,Feb,Toyota,Policy Holder,No,No,0.6885775632980748,High
193,Dec,Chevrolet,Policy Holder,No,No,0.6651267227687558,High
194,Feb,Toyota,Policy Holder,No,No,0.75720120932352,High
195,Dec,Honda,Policy Holder,No,No,0.738125851735534,High
196,Feb,Chevrolet,Third Party,No,No,0.04263756957603805,Low
197,Feb,Honda,Third Party,No,No,0.061596236959373954,Low
198,Aug,Mazda,Third Party,No,No,0.02333230091145677,Low
199,Mar,Pontiac,Policy Holder,No,No,0.7314636937007261,High
200,Dec,Pontiac,Third Party,No,No,0.04959960433431285,Low
201,Dec,Mazda,Third Party,No,No,0.023158708635818284,Low
202,Dec,Mazda,Policy Holder,No,No,0.49646361543307105,Medium
203,Dec,Honda,Policy Holder,No,No,0.6805886102933888,High
204,Sep,Honda,Policy Holder,No,No,0.13076201284404404,Low
205,Dec,Pontiac,Third Party,No,No,0.8414429841985736,High
206,Apr,Pontiac,Policy Holder,No,No,0.626921620223424,High
207,Dec,Pontiac,Policy Holder,No,No,0.7612224902090472,High
208,Sep,Mazda,Policy Holder,No,No,0.45337190428524893,Medium
209,Oct,Toyota,Third Party,No,No,0.050956958436059574,Low
210,Dec,Pontiac,Third Party,No,No,0.06615891925871085,Low
211,Apr,Pontiac,Policy Holder,No,No,0.4706459453851467,Medium
212,Feb,Honda,Third Party,No,No,0.05485857459792028,Low
213,Feb,Accura,Policy Holder,No,No,0.6730692342579097,High
214,Aug,Pontiac,Policy Holder,No,No,0.787766871380465,High
215,Jun,Mazda,Policy Holder,No,No,0.655008459423015,High
216,Jun,Chevrolet,Policy Holder,No,No,0.5446853582458897,Medium
217,Jun,Toyota,Policy Holder,Yes,No,0.4798370699333903,Medium
218,Jan,Mazda,Policy Holder,No,No,0.10132072606429333,Low
219,Jan,Honda,Policy Holder,No,No,0.47301656702168626,Medium
220,Feb,Chevrolet,Policy Holder,No,No,0.6460095066260874,High
221,Jul,Toyota,Policy Holder,No,No,0.050155539220304406,Low
222,Jun,Pontiac,Policy Holder,No,No,0.11418240223146109,Low
223,Jan,Toyota,Third Party,No,No,0.05731887054423595,Low
224,Jan,Honda,Policy Holder,No,No,0.10176190432635657,Low
225,Jan,Toyota,Policy Holder,No,No,0.739388877392911,High
226,Nov,Pontiac,Policy Holder,No,No,0.07661321222758266,Low
227,Oct,Saab,Third Party,No,No,0.05973181565854396,Low
228,Oct,VW,Policy Holder,No,No,0.2083451049098691,Low
229,Dec,Pontiac,Policy Holder,No,No,0.49466843191663235,Medium
230,Oct,Pontiac,Policy Holder,No,No,0.0561465952691529,Low
231,Jun,Pontiac,Policy Holder,No,No,0.6685172474680919,High
232,Apr,Mazda,Policy Holder,No,No,0.7179196045186259,High
233,Dec,Chevrolet,Policy Holder,No,No,0.5436467059147083,Medium
234,Mar,VW,Third Party,No,No,0.014558332526900555,Low
235,Mar,Mercury,Policy Holder,No,No,0.8839215781089446,High
236,Dec,Chevrolet,Policy Holder,No,No,0.6531439612315105,High
237,Mar,Pontiac,Policy Holder,No,Yes,0.48594036880688823,Medium
238,Mar,Pontiac,Policy Holder,No,No,0.12726474020345396,Low
239,Jan,Pontiac,Policy Holder,No,No,0.7278671097645456,High
240,Jan,Mazda,Policy Holder,No,No,0.10675518401341384,Low
241,Jan,Chevrolet,Policy Holder,No,No,0.14352116004229987,Low
242,Jan,Mazda,Policy Holder,No,No,0.27269432263064697,Low
243,Aug,Mazda,Policy Holder,No,No,0.03971989935026369,Low
244,Aug,Honda,Policy Holder,No,No,0.5672536501351938,Medium
245,Feb,Pontiac,Third Party,No,No,0.03983141269635258,Low
246,Dec,Honda,Third Party,No,No,0.04025147482672322,Low
247,Feb,Ford,Policy Holder,No,No,0.7548676501006082,High
248,Feb,Accura,Policy Holder,No,No,0.2122770956273321,Low
249,Feb,Toyota,Policy Holder,No,No,0.6938018080591958,High
250,Feb,Accura,Policy Holder,No,No,0.5847159223607284,Medium
251,Jan,Honda,Third Party,No,No,0.09225603544242168,Low
252,Jan,Pontiac,Policy Holder,No,No,0.7822616837612945,High
253,Jan,Pontiac,Policy Holder,No,No,0.6061903376993357,High
254,Jan,Pontiac,Policy Holder,No,No,0.13654776595887028,Low
255,Dec,Mazda,Third Party,No,No,0.08004213071775665,Low
256,Dec,Pontiac,Policy Holder,No,No,0.6899984527725637,High
257,Dec,VW,Policy Holder,No,No,0.14826797023167668,Low
258,Dec,Toyota,Policy Holder,No,No,0.4853747438646524,Medium
259,Aug,Mazda,Policy Holder,No,No,0.5108542803557771,Medium
260,Jun,Pontiac,Policy Holder,No,No,0.0948249023237721,Low
261,Jun,Pontiac,Policy Holder,No,No,0.6467090728119652,High
262,May,Accura,Third Party,No,No,0.11805108777081867,Low
263,Apr,Pontiac,Policy Holder,No,No,0.6478102605660427,High
264,Apr,Toyota,Third Party,No,No,0.05474777530442222,Low
265,Feb,Pontiac,Policy Holder,No,No,0.16424966406073915,Low
266,Dec,VW,Third Party,No,No,0.010042830134321229,Low
267,Feb,Pontiac,Policy Holder,No,No,0.17439017735213364,Low
268,Feb,Chevrolet,Third Party,No,No,0.07380353687183319,Low
269,Feb,Honda,Policy Holder,No,No,0.79193555552325,High
270,Feb,Honda,Policy Holder,No,No,0.05251381155034175,Low
271,Jan,Chevrolet,Policy Holder,No,No,0.04774238137758839,Low
272,Jan,Pontiac,Policy Holder,No,No,0.5407553912398981,Medium
273,Jan,Toyota,Policy Holder,No,No,0.5943507402503653,Medium
274,Jan,Chevrolet,Policy Holder,No,No,0.6928790211761616,High
275,Jan,Honda,Policy Holder,No,No,0.15802848144745674,Low
276,Jan,Honda,Policy Holder,No,No,0.7862897208468131,High
277,Jan,Toyota,Policy Holder,No,No,0.7234168315493266,High
278,Jan,Honda,Policy Holder,No,No,0.1582350092930914,Low
279,Dec,Pontiac,Policy Holder,No,No,0.5250133342714072,Medium
280,Dec,Honda,Policy Holder,No,No,0.08217320904569296,Low
281,Dec,Honda,Policy Holder,No,No,0.756075208971675,High
282,Dec,Pontiac,Policy Holder,No,No,0.07833506509476576,Low
283,Mar,Honda,Policy Holder,No,No,0.8416496484654036,High
284,Dec,Pontiac,Policy Holder,No,No,0.06678542656725411,Low
285,Dec,Toyota,Policy Holder,No,No,0.6352287836586211,High
286,Dec,Honda,Policy Holder,No,No,0.6051378695686827,High
287,Jan,Mazda,Policy Holder,No,No,0.07965630614300234,Low
288,Jan,Honda,Policy Holder,No,No,0.1829503641774678,Low
289,Jan,Pontiac,Policy Holder,No,No,0.5707564650172643,Medium
290,Jan,Chevrolet,Policy Holder,No,No,0.14139965519399192,Low
291,Jan,Pontiac,Third Party,No,No,0.002862924054576231,Low
292,Jan,Toyota,Policy Holder,No,No,0.6409916001215625,High
293,Jan,Honda,Third Party,No,No,0.07404006273303554,Low
294,Jan,Ford,Policy Holder,No,No,0.1643658257584773,Low
295,Jan,Honda,Policy Holder,No,No,0.12014527131677004,Low
296,Jan,Pontiac,Policy Holder,No,No,0.7019765640347775,High
297,Jan,Honda,Third Party,No,No,0.0023434360726153846,Low
298,Dec,Pontiac,Policy Holder,No,No,0.5653311827262476,Medium
299,Jan,Honda,Third Party,No,No,0.04489717278172743,Low
300,Jan,Chevrolet,Third Party,No,No,0.06823224852837415,Low
301,Dec,Pontiac,Third Party,No,No,0.009639287303867823,Low
302,Dec,Honda,Policy Holder,No,No,0.4431459952436044,Medium
303,Dec,Pontiac,Third Party,No,No,0.033958025324766904,Low
304,Feb,Pontiac,Policy Holder,No,No,0.7320815005559206,High
305,May,Toyota,Policy Holder,No,No,0.7952552731359782,High
306,Apr,VW,Policy Holder,No,No,0.448279653926769,Medium
307,Apr,Honda,Policy Holder,No,No,0.836949788251257,High
308,Apr,Pontiac,Policy Holder,No,No,0.08363202549159865,Low
309,Dec,Pontiac,Policy Holder,No,No,0.8402707901647637,High
310,Dec,Honda,Policy Holder,No,No,0.7286116047431542,High
311,Oct,Honda,Policy Holder,No,No,0.10652158846057898,Low
312,Oct,Pontiac,Policy Holder,No,No,0.5556018249198338,Medium
313,Mar,Mercury,Policy Holder,No,No,0.16240941627592329,Low
314,Apr,Honda,Policy Holder,No,No,0.5068529490098788,Medium
315,Mar,Pontiac,Third Party,No,No,0.0033716128020181224,Low
316,Dec,Honda,Policy Holder,No,No,0.5926291887905859,Medium
317,May,Accura,Policy Holder,No,No,0.6401413299302245,High
318,Jan,Honda,Policy Holder,No,No,0.7101370850951719,High
319,May,Pontiac,Policy Holder,No,No,0.6496392034691508,High
320,Apr,Mazda,Policy Holder,No,No,0.124807301500934,Low
321,Mar,Ford,Third Party,No,No,0.03796860460134072,Low
322,Mar,Saturn,Policy Holder,No,No,0.7438621390862507,High
323,Apr,Chevrolet,Policy Holder,No,No,0.5549816849870773,Medium
324,Apr,Honda,Policy Holder,No,No,0.6555009881952483,High
325,Jun,Honda,Third Party,No,No,0.06315965277480665,Low
326,Jun,Mazda,Policy Holder,No,No,0.10654492325104462,Low
327,Nov,Honda,Policy Holder,No,No,0.35056819055070204,Medium
328,Jul,Honda,Third Party,No,No,0.025526409737800678,Low
329,Jun,Toyota,Policy Holder,No,No,0.8050318087550505,High
330,Mar,Chevrolet,Third Party,No,No,0.11034159619169902,Low
331,Nov,Toyota,Policy Holder,No,No,0.0754413380123309,Low
332,Nov,Pontiac,Policy Holder,No,No,0.437322031563007,Medium
333,Jun,Toyota,Policy Holder,No,No,0.5452701463417629,Medium
334,Jun,VW,Policy Holder,No,No,0.3169874710694503,Medium
335,Mar,Honda,Policy Holder,No,No,0.624631081684805,High
336,Aug,Toyota,Policy Holder,No,No,0.557948191801672,Medium
337,Aug,Honda,Policy Holder,No,No,0.7591839038475573,High
338,Apr,Toyota,Policy Holder,No,No,0.15916462374665075,Low
339,Apr,Toyota,Policy Holder,No,No,0.7655706934791852,High
340,Feb,Pontiac,Policy Holder,No,No,0.6676935708776682,High
341,Feb,Pontiac,Third Party,No,No,0.03709957753926644,Low
342,Sep,Toyota,Policy Holder,No,No,0.75273867776556,High
343,Jul,Honda,Policy Holder,No,No,0.07619058776683767,Low
344,Jan,Honda,Third Party,No,No,0.0030769078479626704,Low
345,Sep,Chevrolet,Policy Holder,No,No,0.6521738325384977,High
346,Sep,Pontiac,Policy Holder,No,No,0.5661954137307122,Medium
347,Aug,Ford,Policy Holder,No,No,0.7262042042851022,High
348,Mar,Chevrolet,Policy Holder,No,No,0.7819760330609835,High
349,Mar,Honda,Policy Holder,No,No,0.8274156993762062,High
350,Nov,VW,Policy Holder,No,No,0.21743773935446098,Low
351,Nov,Toyota,Policy Holder,No,No,0.09489656843860969,Low
352,Sep,Honda,Third Party,No,No,0.04744548745429407,Low
353,Sep,Pontiac,Policy Holder,No,No,0.06813687390367323,Low
354,Mar,Toyota,Policy Holder,No,No,0.5940548598289394,Medium
355,Mar,Chevrolet,Third Party,No,No,0.058756990343046586,Low
356,Mar,Pontiac,Third Party,No,No,0.06770388856400075,Low
357,Mar,Chevrolet,Policy Holder,No,No,0.016892441357364053,Low
358,Mar,Toyota,Policy Holder,No,No,0.9972289983550316,High
359,Aug,VW,Policy Holder,No,No,0.3181256878722297,Medium
360,Sep,Honda,Policy Holder,No,No,0.5049807609768042,Medium
361,Jan,Mazda,Third Party,No,No,0.03863166739961495,Low
362,May,Pontiac,Policy Holder,No,No,0.669359778720978,High
363,Feb,Toyota,Third Party,No,No,0.054343452833907506,Low
364,Jun,Pontiac,Policy Holder,No,No,0.6880019192384199,High
365,Jun,Toyota,Third Party,No,No,0.007268332346787337,Low
366,Apr,Chevrolet,Policy Holder,No,No,0.7858647562925672,High
367,Jan,Pontiac,Policy Holder,No,No,0.8818682434748808,High
368,May,Honda,Third Party,No,No,0.03383725681057418,Low
369,Jun,Honda,Third Party,No,No,0.06828819898939659,Low
370,Jun,Honda,Policy Holder,No,No,0.5297120485241188,Medium
371,Jan,Mazda,Policy Holder,No,No,0.15446973697522826,Low
372,Mar,Toyota,Policy Holder,No,No,0.7123145478320788,High
373,Sep,Chevrolet,Policy Holder,No,No,0.7652367102269758,High
374,May,Mazda,Third Party,No,No,0.0036211952893768157,Low
375,Mar,Honda,Policy Holder,No,No,0.7384765818993815,High
376,Mar,Honda,Policy Holder,No,No,0.838170621012119,High
377,Jul,Mazda,Policy Holder,No,No,0.5351549074527676,Medium
378,Jul,Toyota,Policy Holder,No,No,0.14232528189047178,Low
379,Jul,Chevrolet,Policy Holder,No,No,0.10524583296766697,Low
380,Aug,Honda,Policy Holder,No,No,0.11370655087763923,Low
381,Jan,Ford,Policy Holder,No,No,0.6556324410981155,High
382,Feb,Honda,Third Party,No,No,0.002882944836307819,Low
383,Nov,Chevrolet,Policy Holder,No,No,0.6327816712006977,High
384,Oct,VW,Third Party,No,No,0.017294163537572686,Low
385,Oct,Honda,Policy Holder,No,No,0.5729597590806847,Medium
386,Jan,Honda,Policy Holder,No,No,0.6767949877554337,High
387,Jan,VW,Third Party,No,No,0.016619569347781322,Low
388,Feb,Toyota,Policy Holder,No,No,0.6100976124419926,High
389,Jan,Honda,Policy Holder,No,No,0.1427275953913195,Low
390,Feb,Pontiac,Policy Holder,No,No,0.12607508799645156,Low
391,Jun,Chevrolet,Third Party,No,No,0.004244091291169667,Low
392,May,Ford,Third Party,No,No,0.0014464316241573811,Low
393,Oct,Chevrolet,Policy Holder,No,No,0.7297859734575678,High
394,Jul,Chevrolet,Third Party,No,No,0.09365195978325713,Low
395,Apr,Mazda,Policy Holder,No,No,0.5732676469902194,Medium
396,Nov,Honda,Third Party,No,No,0.017431049578101168,Low
397,Aug,Pontiac,Third Party,No,No,0.0035983670223456612,Low
398,Aug,Toyota,Policy Holder,No,No,0.1584089196644512,Low
399,Mar,Honda,Third Party,No,No,0.049327043878071644,Low
400,Mar,Mazda,Policy Holder,No,No,0.08872386921525482,Low
401,Mar,Honda,Policy Holder,No,No,0.6984624703078558,High
402,Jun,Pontiac,Policy Holder,No,No,0.11949434960839073,Low
403,Jan,VW,Third Party,No,No,0.011558962985255095,Low
404,Dec,Honda,Policy Holder,No,No,0.7198178960572422,High
405,Jul,Mazda,Policy Holder,No,No,0.48678905460565675,Medium
406,Jan,Accura,Policy Holder,No,No,0.659115560098148,High
407,Jul,Chevrolet,Policy Holder,No,No,0.09690343075776152,Low
408,Nov,Pontiac,Policy Holder,Yes,No,0.4154572934123961,Medium
409,Nov,Pontiac,Third Party,No,No,0.5037386650603581,Medium
410,May,Pontiac,Policy Holder,No,No,0.15769550587407175,Low
411,May,Pontiac,Policy Holder,No,No,0.12346199307652789,Low
412,Oct,Mazda,Policy Holder,No,No,0.6671626249043696,High
413,May,Pontiac,Policy Holder,No,No,0.7680629954535292,High
414,Sep,Toyota,Policy Holder,No,No,0.48180572190457754,Medium
415,Sep,Mazda,Third Party,No,No,0.07879187146324754,Low
416,Oct,Pontiac,Policy Holder,No,No,0.640743223010855,High
417,Oct,Honda,Third Party,No,No,0.14143709244431701,Low
418,May,Ford,Policy Holder,No,No,0.7725873260801843,High
